"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,
"1;""M1"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""12 V  Water Pump"";;;",,
"2;""J5"";""PinHeader_1x03_P2.54mm_Vertical"";1;""TDS Sensor"";;;",,,
"3;""C1"";""CP_Radial_D10.0mm_P5.00mm"";1;""470 µF Polarized"";;;",,,
"4;""C4",C7,C6,"C3"";""C_0805_2012Metric"";4;""100 nF ceramic"";;;"
"5;""D4",D3,"D1"";""D_DO-35_SOD27_P7.62mm_Horizontal"";3;""1N4007"";;;",
"6;""C2",C5,"C8"";""CP_Radial_D10.0mm_P5.00mm"";3;""470 µF polarized"";;;",
"7;""J2"";""PinHeader_1x08_P2.54mm_Vertical"";1;""OLED"";;;",,,
"8;""J3"";""PinHeader_1x05_P2.54mm_Vertical"";1;""DS3231 RTC"";;;",,,
"9;""J1"";""BarrelJack_Horizontal"";1;""Barrel_Jack_MountingPin"";;;",,,
"10;""J7"";""PinSocket_1x03_P2.54mm_Vertical"";1;""Water Level Sensor"";;;",,,
"11;""M3"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""6V V  Drain Peristaltic Pump"";;;",,
"12;""R4",R3,R2,"R1"";""R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"";4;""10k"";;;"
"13;""C10"";""C_0805_2012Metric"";1;""100nF"";;;",,,
"14;""J12"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""LM2596 Buck IN"";;;",,
"15;""A1"";""Arduino_UNO_R3"";1;""Arduino_UNO_R3"";;;",,,
"16;""Q2"";""TO-220-3_Vertical"";1;""Q_NMOS_GDS Solution"";;;",,,
"17;""J6"";""PinSocket_1x06_P2.54mm_Vertical"";1;""pH Sensor"";;;",,,
"18;""M2"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""Peristaltic Pump Solution"";;;",,
"19;""Q1"";""TO-220-3_Vertical"";1;""Q_NMOS_GDS Motor"";;;",,,
"20;""Q3"";""TO-220-3_Vertical"";1;""Q_NMOS_GDS LED"";;;",,,
"21;""D2"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""PLANT GROWTH LED 12V"";;;",,
"22;""J8"";""PhoenixContact_MC_1","5_2-G-3.5_1x02_P3.50mm_Horizontal"";1;""LM2596 Buck OUT"";;;",,
"23;""J4"";""PinSocket_1x04_P2.54mm_Vertical"";1;""DHT22 (AM2302)"";;;",,,
"24;""Q4"";""TO-220-3_Vertical"";1;""Q_NMOS_GDS Drain"";;;",,,
